AÑO;Estado;Tipo de crimen;SUM de Ocurrencias
2021;Acre;Homicidio doloso;168
2021;Acre;Hurto en el vehículo;615
2021;Acre;Lesiones corporales seguidas de muerte;1
2021;Acre;Robo a entidad financiera;1
2021;Acre;Robo de mercancía;0
2021;Acre;Robo de vehiculo;1035
2021;Acre;Robo seguido de muerte;8
2021;Acre;Tentativa de homicidio;235
2021;Acre;Violación;438
2021;Alagoas;Homicidio doloso;1027
2021;Alagoas;Hurto en el vehículo;1459
2021;Alagoas;Lesiones corporales seguidas de muerte;4
2021;Alagoas;Robo a entidad financiera;1
2021;Alagoas;Robo de mercancía;13
2021;Alagoas;Robo de vehiculo;1583
2021;Alagoas;Robo seguido de muerte;25
2021;Alagoas;Tentativa de homicidio;359
2021;Alagoas;Violación;568
2021;Amapá;Homicidio doloso;277
2021;Amapá;Hurto en el vehículo;391
2021;Amapá;Lesiones corporales seguidas de muerte;18
2021;Amapá;Robo a entidad financiera;19
2021;Amapá;Robo de mercancía;15
2021;Amapá;Robo de vehiculo;396
2021;Amapá;Robo seguido de muerte;19
2021;Amapá;Tentativa de homicidio;189
2021;Amapá;Violación;237
2021;Amazonas;Homicidio doloso;1381
2021;Amazonas;Hurto en el vehículo;1834
2021;Amazonas;Lesiones corporales seguidas de muerte;16
2021;Amazonas;Robo a entidad financiera;2
2021;Amazonas;Robo de mercancía;24
2021;Amazonas;Robo de vehiculo;2311
2021;Amazonas;Robo seguido de muerte;69
2021;Amazonas;Tentativa de homicidio;247
2021;Amazonas;Violación;749
2021;Bahia;Homicidio doloso;5213
2021;Bahia;Hurto en el vehículo;4485
2021;Bahia;Lesiones corporales seguidas de muerte;55
2021;Bahia;Robo a entidad financiera;17
2021;Bahia;Robo de mercancía;182
2021;Bahia;Robo de vehiculo;11103
2021;Bahia;Robo seguido de muerte;134
2021;Bahia;Tentativa de homicidio;2103
2021;Bahia;Violación;3254
2021;Ceará;Homicidio doloso;3026
2021;Ceará;Hurto en el vehículo;4052
2021;Ceará;Lesiones corporales seguidas de muerte;23
2021;Ceará;Robo a entidad financiera;7
2021;Ceará;Robo de mercancía;45
2021;Ceará;Robo de vehiculo;7805
2021;Ceará;Robo seguido de muerte;42
2021;Ceará;Tentativa de homicidio;1015
2021;Ceará;Violación;1783
2021;Distrito Federal Brasilia;Homicidio doloso;283
2021;Distrito Federal Brasilia;Hurto en el vehículo;3717
2021;Distrito Federal Brasilia;Lesiones corporales seguidas de muerte;6
2021;Distrito Federal Brasilia;Robo a entidad financiera;0
2021;Distrito Federal Brasilia;Robo de mercancía;22
2021;Distrito Federal Brasilia;Robo de vehiculo;2032
2021;Distrito Federal Brasilia;Robo seguido de muerte;21
2021;Distrito Federal Brasilia;Tentativa de homicidio;614
2021;Distrito Federal Brasilia;Violación;575
2021;Espírito Santo;Homicidio doloso;1060
2021;Espírito Santo;Hurto en el vehículo;4654
2021;Espírito Santo;Lesiones corporales seguidas de muerte;16
2021;Espírito Santo;Robo a entidad financiera;35
2021;Espírito Santo;Robo de mercancía;30
2021;Espírito Santo;Robo de vehiculo;3669
2021;Espírito Santo;Robo seguido de muerte;41
2021;Espírito Santo;Tentativa de homicidio;2392
2021;Espírito Santo;Violación;1474
2021;Goiás;Homicidio doloso;1190
2021;Goiás;Hurto en el vehículo;5106
2021;Goiás;Lesiones corporales seguidas de muerte;24
2021;Goiás;Robo a entidad financiera;5
2021;Goiás;Robo de mercancía;280
2021;Goiás;Robo de vehiculo;1739
2021;Goiás;Robo seguido de muerte;34
2021;Goiás;Tentativa de homicidio;1531
2021;Goiás;Violación;654
2021;Maranhao;Homicidio doloso;1825
2021;Maranhao;Hurto en el vehículo;2154
2021;Maranhao;Lesiones corporales seguidas de muerte;10
2021;Maranhao;Robo a entidad financiera;12
2021;Maranhao;Robo de mercancía;33
2021;Maranhao;Robo de vehiculo;4200
2021;Maranhao;Robo seguido de muerte;96
2021;Maranhao;Tentativa de homicidio;880
2021;Maranhao;Violación;1473
2021;Mato Grosso;Homicidio doloso;744
2021;Mato Grosso;Hurto en el vehículo;1850
2021;Mato Grosso;Lesiones corporales seguidas de muerte;11
2021;Mato Grosso;Robo a entidad financiera;5
2021;Mato Grosso;Robo de mercancía;230
2021;Mato Grosso;Robo de vehiculo;1110
2021;Mato Grosso;Robo seguido de muerte;30
2021;Mato Grosso;Tentativa de homicidio;971
2021;Mato Grosso;Violación;1640
2021;Mato Grosso do Sul;Homicidio doloso;438
2021;Mato Grosso do Sul;Hurto en el vehículo;2901
2021;Mato Grosso do Sul;Lesiones corporales seguidas de muerte;12
2021;Mato Grosso do Sul;Robo a entidad financiera;2
2021;Mato Grosso do Sul;Robo de mercancía;1
2021;Mato Grosso do Sul;Robo de vehiculo;504
2021;Mato Grosso do Sul;Robo seguido de muerte;12
2021;Mato Grosso do Sul;Tentativa de homicidio;606
2021;Mato Grosso do Sul;Violación;1793
2021;Minas Gerais;Homicidio doloso;2262
2021;Minas Gerais;Hurto en el vehículo;14676
2021;Minas Gerais;Lesiones corporales seguidas de muerte;23
2021;Minas Gerais;Robo a entidad financiera;11
2021;Minas Gerais;Robo de mercancía;296
2021;Minas Gerais;Robo de vehiculo;2945
2021;Minas Gerais;Robo seguido de muerte;80
2021;Minas Gerais;Tentativa de homicidio;2297
2021;Minas Gerais;Violación;1007
2021;Pará;Homicidio doloso;2103
2021;Pará;Hurto en el vehículo;3018
2021;Pará;Lesiones corporales seguidas de muerte;30
2021;Pará;Robo a entidad financiera;3
2021;Pará;Robo de mercancía;144
2021;Pará;Robo de vehiculo;2508
2021;Pará;Robo seguido de muerte;102
2021;Pará;Tentativa de homicidio;1037
2021;Pará;Violación;3685
2021;Paraíba;Homicidio doloso;1106
2021;Paraíba;Hurto en el vehículo;708
2021;Paraíba;Lesiones corporales seguidas de muerte;3
2021;Paraíba;Robo a entidad financiera;14
2021;Paraíba;Robo de mercancía;24
2021;Paraíba;Robo de vehiculo;2148
2021;Paraíba;Robo seguido de muerte;17
2021;Paraíba;Tentativa de homicidio;371
2021;Paraíba;Violación;299
2021;Paraná;Homicidio doloso;1797
2021;Paraná;Hurto en el vehículo;11548
2021;Paraná;Lesiones corporales seguidas de muerte;40
2021;Paraná;Robo a entidad financiera;12
2021;Paraná;Robo de mercancía;547
2021;Paraná;Robo de vehiculo;4030
2021;Paraná;Robo seguido de muerte;40
2021;Paraná;Tentativa de homicidio;1074
2021;Paraná;Violación;4887
2021;Pernambuco;Homicidio doloso;3040
2021;Pernambuco;Hurto en el vehículo;4911
2021;Pernambuco;Lesiones corporales seguidas de muerte;16
2021;Pernambuco;Robo a entidad financiera;5
2021;Pernambuco;Robo de mercancía;365
2021;Pernambuco;Robo de vehiculo;9573
2021;Pernambuco;Robo seguido de muerte;119
2021;Pernambuco;Tentativa de homicidio;2833
2021;Pernambuco;Violación;2133
2021;Piauí;Homicidio doloso;738
2021;Piauí;Hurto en el vehículo;2045
2021;Piauí;Lesiones corporales seguidas de muerte;3
2021;Piauí;Robo a entidad financiera;5
2021;Piauí;Robo de mercancía;12
2021;Piauí;Robo de vehiculo;4478
2021;Piauí;Robo seguido de muerte;38
2021;Piauí;Tentativa de homicidio;534
2021;Piauí;Violación;900
2021;Rio de Janeiro;Homicidio doloso;3058
2021;Rio de Janeiro;Hurto en el vehículo;14416
2021;Rio de Janeiro;Lesiones corporales seguidas de muerte;39
2021;Rio de Janeiro;Robo a entidad financiera;105
2021;Rio de Janeiro;Robo de mercancía;4445
2021;Rio de Janeiro;Robo de vehiculo;24329
2021;Rio de Janeiro;Robo seguido de muerte;104
2021;Rio de Janeiro;Tentativa de homicidio;2620
2021;Rio de Janeiro;Violación;4593
2021;Rio Grande do Norte;Homicidio doloso;1064
2021;Rio Grande do Norte;Hurto en el vehículo;821
2021;Rio Grande do Norte;Lesiones corporales seguidas de muerte;19
2021;Rio Grande do Norte;Robo a entidad financiera;17
2021;Rio Grande do Norte;Robo de mercancía;16
2021;Rio Grande do Norte;Robo de vehiculo;4188
2021;Rio Grande do Norte;Robo seguido de muerte;54
2021;Rio Grande do Norte;Tentativa de homicidio;338
2021;Rio Grande do Norte;Violación;551
2021;Rio Grande do Sul;Homicidio doloso;1520
2021;Rio Grande do Sul;Hurto en el vehículo;8914
2021;Rio Grande do Sul;Lesiones corporales seguidas de muerte;34
2021;Rio Grande do Sul;Robo a entidad financiera;13
2021;Rio Grande do Sul;Robo de mercancía;173
2021;Rio Grande do Sul;Robo de vehiculo;4941
2021;Rio Grande do Sul;Robo seguido de muerte;64
2021;Rio Grande do Sul;Tentativa de homicidio;2011
2021;Rio Grande do Sul;Violación;4636
2021;Rondonia;Homicidio doloso;426
2021;Rondonia;Hurto en el vehículo;2258
2021;Rondonia;Lesiones corporales seguidas de muerte;3
2021;Rondonia;Robo a entidad financiera;62
2021;Rondonia;Robo de mercancía;5
2021;Rondonia;Robo de vehiculo;1838
2021;Rondonia;Robo seguido de muerte;20
2021;Rondonia;Tentativa de homicidio;663
2021;Rondonia;Violación;318
2021;Roraima;Homicidio doloso;197
2021;Roraima;Hurto en el vehículo;649
2021;Roraima;Lesiones corporales seguidas de muerte;8
2021;Roraima;Robo a entidad financiera;2
2021;Roraima;Robo de mercancía;1
2021;Roraima;Robo de vehiculo;680
2021;Roraima;Robo seguido de muerte;13
2021;Roraima;Tentativa de homicidio;172
2021;Roraima;Violación;460
2021;San Pablo;Homicidio doloso;2711
2021;San Pablo;Hurto en el vehículo;79670
2021;San Pablo;Lesiones corporales seguidas de muerte;76
2021;San Pablo;Robo a entidad financiera;18
2021;San Pablo;Robo de mercancía;6529
2021;San Pablo;Robo de vehiculo;33041
2021;San Pablo;Robo seguido de muerte;166
2021;San Pablo;Tentativa de homicidio;3312
2021;San Pablo;Violación;11762
2021;Santa Catarina;Homicidio doloso;612
2021;Santa Catarina;Hurto en el vehículo;7455
2021;Santa Catarina;Lesiones corporales seguidas de muerte;15
2021;Santa Catarina;Robo a entidad financiera;13
2021;Santa Catarina;Robo de mercancía;21
2021;Santa Catarina;Robo de vehiculo;1412
2021;Santa Catarina;Robo seguido de muerte;16
2021;Santa Catarina;Tentativa de homicidio;1442
2021;Santa Catarina;Violación;1170
2021;Sergipe;Homicidio doloso;558
2021;Sergipe;Hurto en el vehículo;606
2021;Sergipe;Lesiones corporales seguidas de muerte;6
2021;Sergipe;Robo a entidad financiera;0
2021;Sergipe;Robo de mercancía;0
2021;Sergipe;Robo de vehiculo;2412
2021;Sergipe;Robo seguido de muerte;16
2021;Sergipe;Tentativa de homicidio;594
2021;Sergipe;Violación;391
2021;Tocantins;Homicidio doloso;313
2021;Tocantins;Hurto en el vehículo;1242
2021;Tocantins;Lesiones corporales seguidas de muerte;1
2021;Tocantins;Robo a entidad financiera;2
2021;Tocantins;Robo de mercancía;0
2021;Tocantins;Robo de vehiculo;451
2021;Tocantins;Robo seguido de muerte;9
2021;Tocantins;Tentativa de homicidio;359
2021;Tocantins;Violación;760
2022;Acre;Homicidio doloso;142
2022;Acre;Hurto en el vehículo;379
2022;Acre;Lesiones corporales seguidas de muerte;1
2022;Acre;Robo a entidad financiera;0
2022;Acre;Robo de mercancía;0
2022;Acre;Robo de vehiculo;504
2022;Acre;Robo seguido de muerte;5
2022;Acre;Tentativa de homicidio;254
2022;Acre;Violación;408
2022;Alagoas;Homicidio doloso;797
2022;Alagoas;Hurto en el vehículo;1444
2022;Alagoas;Lesiones corporales seguidas de muerte;4
2022;Alagoas;Robo a entidad financiera;0
2022;Alagoas;Robo de mercancía;12
2022;Alagoas;Robo de vehiculo;1210
2022;Alagoas;Robo seguido de muerte;18
2022;Alagoas;Tentativa de homicidio;463
2022;Alagoas;Violación;553
2022;Amapá;Homicidio doloso;135
2022;Amapá;Hurto en el vehículo;330
2022;Amapá;Lesiones corporales seguidas de muerte;12
2022;Amapá;Robo a entidad financiera;4
2022;Amapá;Robo de mercancía;17
2022;Amapá;Robo de vehiculo;285
2022;Amapá;Robo seguido de muerte;20
2022;Amapá;Tentativa de homicidio;138
2022;Amapá;Violación;90
2022;Amazonas;Homicidio doloso;948
2022;Amazonas;Hurto en el vehículo;1780
2022;Amazonas;Lesiones corporales seguidas de muerte;22
2022;Amazonas;Robo a entidad financiera;1
2022;Amazonas;Robo de mercancía;13
2022;Amazonas;Robo de vehiculo;1158
2022;Amazonas;Robo seguido de muerte;41
2022;Amazonas;Tentativa de homicidio;191
2022;Amazonas;Violación;704
2022;Bahia;Homicidio doloso;3472
2022;Bahia;Hurto en el vehículo;4919
2022;Bahia;Lesiones corporales seguidas de muerte;43
2022;Bahia;Robo a entidad financiera;3
2022;Bahia;Robo de mercancía;238
2022;Bahia;Robo de vehiculo;9053
2022;Bahia;Robo seguido de muerte;60
2022;Bahia;Tentativa de homicidio;1528
2022;Bahia;Violación;2750
2022;Ceará;Homicidio doloso;2059
2022;Ceará;Hurto en el vehículo;4057
2022;Ceará;Lesiones corporales seguidas de muerte;14
2022;Ceará;Robo a entidad financiera;4
2022;Ceará;Robo de mercancía;51
2022;Ceará;Robo de vehiculo;5653
2022;Ceará;Robo seguido de muerte;31
2022;Ceará;Tentativa de homicidio;719
2022;Ceará;Violación;1342
2022;Distrito Federal Brasilia;Homicidio doloso;180
2022;Distrito Federal Brasilia;Hurto en el vehículo;2524
2022;Distrito Federal Brasilia;Lesiones corporales seguidas de muerte;3
2022;Distrito Federal Brasilia;Robo a entidad financiera;1
2022;Distrito Federal Brasilia;Robo de mercancía;12
2022;Distrito Federal Brasilia;Robo de vehiculo;1143
2022;Distrito Federal Brasilia;Robo seguido de muerte;12
2022;Distrito Federal Brasilia;Tentativa de homicidio;369
2022;Distrito Federal Brasilia;Violación;539
2022;Espírito Santo;Homicidio doloso;707
2022;Espírito Santo;Hurto en el vehículo;3474
2022;Espírito Santo;Lesiones corporales seguidas de muerte;16
2022;Espírito Santo;Robo a entidad financiera;20
2022;Espírito Santo;Robo de mercancía;32
2022;Espírito Santo;Robo de vehiculo;2490
2022;Espírito Santo;Robo seguido de muerte;21
2022;Espírito Santo;Tentativa de homicidio;1816
2022;Espírito Santo;Violación;1286
2022;Goiás;Homicidio doloso;824
2022;Goiás;Hurto en el vehículo;3958
2022;Goiás;Lesiones corporales seguidas de muerte;19
2022;Goiás;Robo a entidad financiera;0
2022;Goiás;Robo de mercancía;69
2022;Goiás;Robo de vehiculo;1011
2022;Goiás;Robo seguido de muerte;25
2022;Goiás;Tentativa de homicidio;1063
2022;Goiás;Violación;489
2022;Maranhao;Homicidio doloso;1282
2022;Maranhao;Hurto en el vehículo;1683
2022;Maranhao;Lesiones corporales seguidas de muerte;5
2022;Maranhao;Robo a entidad financiera;10
2022;Maranhao;Robo de mercancía;24
2022;Maranhao;Robo de vehiculo;2549
2022;Maranhao;Robo seguido de muerte;75
2022;Maranhao;Tentativa de homicidio;682
2022;Maranhao;Violación;1348
2022;Mato Grosso;Homicidio doloso;676
2022;Mato Grosso;Hurto en el vehículo;1591
2022;Mato Grosso;Lesiones corporales seguidas de muerte;4
2022;Mato Grosso;Robo a entidad financiera;1
2022;Mato Grosso;Robo de mercancía;235
2022;Mato Grosso;Robo de vehiculo;763
2022;Mato Grosso;Robo seguido de muerte;18
2022;Mato Grosso;Tentativa de homicidio;723
2022;Mato Grosso;Violación;1505
2022;Mato Grosso do Sul;Homicidio doloso;326
2022;Mato Grosso do Sul;Hurto en el vehículo;2627
2022;Mato Grosso do Sul;Lesiones corporales seguidas de muerte;3
2022;Mato Grosso do Sul;Robo a entidad financiera;0
2022;Mato Grosso do Sul;Robo de mercancía;0
2022;Mato Grosso do Sul;Robo de vehiculo;364
2022;Mato Grosso do Sul;Robo seguido de muerte;9
2022;Mato Grosso do Sul;Tentativa de homicidio;502
2022;Mato Grosso do Sul;Violación;1409
2022;Minas Gerais;Homicidio doloso;1769
2022;Minas Gerais;Hurto en el vehículo;13927
2022;Minas Gerais;Lesiones corporales seguidas de muerte;9
2022;Minas Gerais;Robo a entidad financiera;18
2022;Minas Gerais;Robo de mercancía;247
2022;Minas Gerais;Robo de vehiculo;2449
2022;Minas Gerais;Robo seguido de muerte;60
2022;Minas Gerais;Tentativa de homicidio;1779
2022;Minas Gerais;Violación;702
2022;Pará;Homicidio doloso;1564
2022;Pará;Hurto en el vehículo;2567
2022;Pará;Lesiones corporales seguidas de muerte;23
2022;Pará;Robo a entidad financiera;3
2022;Pará;Robo de mercancía;95
2022;Pará;Robo de vehiculo;1501
2022;Pará;Robo seguido de muerte;60
2022;Pará;Tentativa de homicidio;966
2022;Pará;Violación;3104
2022;Paraíba;Homicidio doloso;791
2022;Paraíba;Hurto en el vehículo;768
2022;Paraíba;Lesiones corporales seguidas de muerte;4
2022;Paraíba;Robo a entidad financiera;17
2022;Paraíba;Robo de mercancía;11
2022;Paraíba;Robo de vehiculo;1907
2022;Paraíba;Robo seguido de muerte;21
2022;Paraíba;Tentativa de homicidio;314
2022;Paraíba;Violación;434
2022;Paraná;Homicidio doloso;1375
2022;Paraná;Hurto en el vehículo;10090
2022;Paraná;Lesiones corporales seguidas de muerte;27
2022;Paraná;Robo a entidad financiera;10
2022;Paraná;Robo de mercancía;349
2022;Paraná;Robo de vehiculo;2559
2022;Paraná;Robo seguido de muerte;44
2022;Paraná;Tentativa de homicidio;644
2022;Paraná;Violación;4377
2022;Pernambuco;Homicidio doloso;2316
2022;Pernambuco;Hurto en el vehículo;5017
2022;Pernambuco;Lesiones corporales seguidas de muerte;11
2022;Pernambuco;Robo a entidad financiera;3
2022;Pernambuco;Robo de mercancía;251
2022;Pernambuco;Robo de vehiculo;8217
2022;Pernambuco;Robo seguido de muerte;84
2022;Pernambuco;Tentativa de homicidio;1811
2022;Pernambuco;Violación;1607
2022;Piauí;Homicidio doloso;569
2022;Piauí;Hurto en el vehículo;1748
2022;Piauí;Lesiones corporales seguidas de muerte;6
2022;Piauí;Robo a entidad financiera;0
2022;Piauí;Robo de mercancía;10
2022;Piauí;Robo de vehiculo;3437
2022;Piauí;Robo seguido de muerte;18
2022;Piauí;Tentativa de homicidio;400
2022;Piauí;Violación;782
2022;Rio de Janeiro;Homicidio doloso;2098
2022;Rio de Janeiro;Hurto en el vehículo;12564
2022;Rio de Janeiro;Lesiones corporales seguidas de muerte;24
2022;Rio de Janeiro;Robo a entidad financiera;59
2022;Rio de Janeiro;Robo de mercancía;2967
2022;Rio de Janeiro;Robo de vehiculo;17965
2022;Rio de Janeiro;Robo seguido de muerte;39
2022;Rio de Janeiro;Tentativa de homicidio;1770
2022;Rio de Janeiro;Violación;3819
2022;Rio Grande do Norte;Homicidio doloso;738
2022;Rio Grande do Norte;Hurto en el vehículo;851
2022;Rio Grande do Norte;Lesiones corporales seguidas de muerte;43
2022;Rio Grande do Norte;Robo a entidad financiera;5
2022;Rio Grande do Norte;Robo de mercancía;7
2022;Rio Grande do Norte;Robo de vehiculo;2347
2022;Rio Grande do Norte;Robo seguido de muerte;20
2022;Rio Grande do Norte;Tentativa de homicidio;248
2022;Rio Grande do Norte;Violación;539
2022;Rio Grande do Sul;Homicidio doloso;1153
2022;Rio Grande do Sul;Hurto en el vehículo;6705
2022;Rio Grande do Sul;Lesiones corporales seguidas de muerte;24
2022;Rio Grande do Sul;Robo a entidad financiera;4
2022;Rio Grande do Sul;Robo de mercancía;97
2022;Rio Grande do Sul;Robo de vehiculo;3353
2022;Rio Grande do Sul;Robo seguido de muerte;40
2022;Rio Grande do Sul;Tentativa de homicidio;1569
2022;Rio Grande do Sul;Violación;3545
2022;Rondonia;Homicidio doloso;372
2022;Rondonia;Hurto en el vehículo;2039
2022;Rondonia;Lesiones corporales seguidas de muerte;3
2022;Rondonia;Robo a entidad financiera;1
2022;Rondonia;Robo de mercancía;0
2022;Rondonia;Robo de vehiculo;1352
2022;Rondonia;Robo seguido de muerte;8
2022;Rondonia;Tentativa de homicidio;488
2022;Rondonia;Violación;249
2022;Roraima;Homicidio doloso;115
2022;Roraima;Hurto en el vehículo;513
2022;Roraima;Lesiones corporales seguidas de muerte;5
2022;Roraima;Robo a entidad financiera;0
2022;Roraima;Robo de mercancía;0
2022;Roraima;Robo de vehiculo;260
2022;Roraima;Robo seguido de muerte;6
2022;Roraima;Tentativa de homicidio;117
2022;Roraima;Violación;434
2022;San Pablo;Homicidio doloso;2135
2022;San Pablo;Hurto en el vehículo;67562
2022;San Pablo;Lesiones corporales seguidas de muerte;74
2022;San Pablo;Robo a entidad financiera;13
2022;San Pablo;Robo de mercancía;4725
2022;San Pablo;Robo de vehiculo;28252
2022;San Pablo;Robo seguido de muerte;124
2022;San Pablo;Tentativa de homicidio;2340
2022;San Pablo;Violación;9484
2022;Santa Catarina;Homicidio doloso;440
2022;Santa Catarina;Hurto en el vehículo;6118
2022;Santa Catarina;Lesiones corporales seguidas de muerte;14
2022;Santa Catarina;Robo a entidad financiera;3
2022;Santa Catarina;Robo de mercancía;28
2022;Santa Catarina;Robo de vehiculo;964
2022;Santa Catarina;Robo seguido de muerte;14
2022;Santa Catarina;Tentativa de homicidio;1011
2022;Santa Catarina;Violación;954
2022;Sergipe;Homicidio doloso;419
2022;Sergipe;Hurto en el vehículo;587
2022;Sergipe;Lesiones corporales seguidas de muerte;1
2022;Sergipe;Robo a entidad financiera;0
2022;Sergipe;Robo de mercancía;0
2022;Sergipe;Robo de vehiculo;1343
2022;Sergipe;Robo seguido de muerte;9
2022;Sergipe;Tentativa de homicidio;412
2022;Sergipe;Violación;127
2022;Tocantins;Homicidio doloso;271
2022;Tocantins;Hurto en el vehículo;1028
2022;Tocantins;Lesiones corporales seguidas de muerte;1
2022;Tocantins;Robo a entidad financiera;10
2022;Tocantins;Robo de mercancía;0
2022;Tocantins;Robo de vehiculo;325
2022;Tocantins;Robo seguido de muerte;14
2022;Tocantins;Tentativa de homicidio;293
2022;Tocantins;Violación;213
